GVKEY,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,datadate,fyear,tic,conm,adrr,pddur,upd,at,capx,ceq,csho,gdwl,oiadp,sale,cik,fic,sich,prcc_f
001004,P,01,LU,54594,20000,19720424,E,19900531,1989,AIR,AAR CORP,,12,3,388.5210,18.4150,189.5480,16.0820,7.3400,46.8510,444.8750,0000001750,USA,5080,21.2500
001004,P,01,LU,54594,20000,19720424,E,19910531,1990,AIR,AAR CORP,,12,3,379.9580,8.8840,193.7780,15.8910,7.1150,33.7010,466.5420,0000001750,USA,5080,14.1250
001009,C,01,LC,10074,5271,19820118,19960313,19901031,1990,ABSI,ABS INDUSTRIES INC,,12,3,32.3350,5.4930,6.2620,2.5260,0.0000,4.2830,40.5220,0000313368,USA,3460,6.0000
001009,C,01,LC,10074,5271,19820118,19960313,19911031,1991,ABSI,ABS INDUSTRIES INC,,12,3,35.5590,2.7260,6.5380,2.5260,0.0000,3.4550,36.2220,0000313368,USA,3460,10.0000
001011,P,01,LC,10082,5793,19830321,19950928,19901231,1990,ACSE,ACS ENTERPRISES INC,,12,3,7.7840,1.2730,0.6670,3.5560,,-1.2700,3.6350,0000702511,USA,4841,1.1880
001011,P,01,LC,10082,5793,19830321,19950928,19911231,1991,ACSE,ACS ENTERPRISES INC,,12,3,8.7200,0.5460,0.8100,3.5660,0.7820,-0.8840,4.4650,0000702511,USA,4841,1.5000
001013,P,01,LU,50906,2902,19790316,20101231,19901031,1990,ADCT.1,ADC TELECOMMUNICATIONS INC,,12,3,181.6650,13.7340,134.0130,13.2890,,37.7450,259.8020,0000061478,USA,3661,16.3750
001013,P,01,LU,50906,2902,19790316,20101231,19911031,1991,ADCT.1,ADC TELECOMMUNICATIONS INC,,12,3,247.1690,24.5670,158.3740,13.4290,,38.5410,293.8390,0000061478,USA,3661,24.3750
001017,P,01,LC,10154,81,19721214,19960229,19900228,1989,AELNA,AEL INDUSTRIES  -CL A,,12,3,129.5140,9.4500,41.8610,3.8920,6.3560,-4.7520,121.1590,0000004911,USA,3812,5.2500
001017,P,01,LC,10154,81,19721214,19960229,19910228,1990,AELNA,AEL INDUSTRIES  -CL A,,12,3,118.1200,10.7890,44.3930,3.8820,5.9910,6.6210,144.2580,0000004911,USA,3812,5.1250
001021,P,01,LU,10218,109,19801014,19990319,19900630,1990,IWKS,AFP IMAGING CORP,,12,3,34.5910,0.5810,7.7510,4.7550,,3.1450,48.2920,0000319126,USA,3861,1.5620
001021,P,01,LU,10218,109,19801014,19990319,19910630,1991,IWKS,AFP IMAGING CORP,,12,3,29.6840,0.1490,6.5550,4.7550,,0.0070,38.0310,0000319126,USA,3861,0.2500
001028,P,01,LU,10285,5148,19811029,19920131,19900228,1989,7547B,AIM TELEPHONES INC,,12,3,50.3410,0.3450,9.8630,5.5110,8.3730,0.1870,48.0490,0000354173,USA,7385,2.6250
001028,P,01,LU,10285,5148,19811029,19920131,19910228,1990,7547B,AIM TELEPHONES INC,,12,3,27.5420,0.7130,-12.1420,6.7350,6.7870,-15.9670,33.5430,0000354173,USA,7385,1.1250
001034,P,01,LC,65832,20007,19840215,20081229,19901231,1990,ALO.2,ALPHARMA INC  -CL A,,12,3,328.4950,10.0060,111.0150,11.2350,72.8840,33.6630,275.4570,0000730469,USA,2834,25.3750
001034,P,01,LC,65832,20007,19840215,20081229,19911231,1991,ALO.2,ALPHARMA INC  -CL A,,12,3,358.8300,10.4850,114.0060,17.0330,71.3530,15.0750,290.5400,0000730469,USA,2834,24.5000
001036,C,01,LC,65453,20008,19831206,20010531,19901231,1990,UDI.,UNITED DOMINION INDUSTRIES,,12,3,1011.9010,27.0920,324.1320,28.4890,80.1450,42.9900,1437.5610,0000029590,CAN,3440,8.2500
001036,C,01,LC,65453,20008,19831206,20010531,19911231,1991,UDI.,UNITED DOMINION INDUSTRIES,,12,3,873.5410,15.6040,338.5300,29.3250,77.5330,19.1260,1350.3390,0000029590,CAN,3440,9.1250
001038,P,01,LU,66413,6301,19830818,20041231,19900331,1989,AEN.2,AMC ENTERTAINMENT INC -OLD,,12,3,453.5360,18.0760,48.5700,16.0580,0.0000,19.4380,423.1620,,USA,7830,7.5000
001038,P,01,LU,66413,6301,19830818,20041231,19910331,1990,AEN.2,AMC ENTERTAINMENT INC -OLD,,12,3,439.1600,20.2270,52.3440,16.0880,0.0000,23.9060,448.4740,,USA,7830,5.6250
001043,C,01,LC,18980,20009,19840510,19930519,19900731,1990,MTI.3,MULTIGRAPHICS INC,,12,3,677.7360,14.9250,183.5660,46.7580,182.3550,4.4440,876.5450,0000002310,USA,3555,2.1250
001043,C,01,LC,18980,20009,19840510,19930519,19910731,1991,MTI.3,MULTIGRAPHICS INC,,12,3,600.4520,7.0250,182.4680,46.8180,170.7420,24.5360,857.8860,0000002310,USA,3555,1.5000
001045,P,01,LC,21020,20010,19620131,20120104,19901231,1990,AAL,AMERICAN AIRLINES GROUP INC,,12,3,13353.6000,2901.3000,3727.4000,62.3000,274.1000,124.0000,11719.6000,0000006201,USA,4512,48.3750
001045,P,01,LC,21020,20010,19620131,20120104,19911231,1991,AAL,AMERICAN AIRLINES GROUP INC,,12,3,16208.0000,3536.0000,3794.0000,68.0000,295.0000,5.0000,12887.0000,0000006201,USA,4512,70.5000
001050,P,01,LC,11499,176,19801128,E,19900531,1989,CECE,CECO ENVIRONMENTAL CORP,,12,3,1.8420,0.0000,0.2990,4.9280,0.3190,-0.2290,0.0000,0000003197,USA,9995,0.2810
001050,P,01,LC,11499,176,19801128,E,19910531,1990,CECE,CECO ENVIRONMENTAL CORP,,12,3,0.1260,0.0000,-0.7780,9.9280,0.0000,-0.0320,0.0000,0000003197,USA,9995,0.5000
001054,P,01,LU,10429,5118,19811001,19940930,19900630,1990,ASKI,ASK GROUP INC,,12,3,166.1560,3.0720,112.8050,13.2340,41.0860,7.8950,207.4860,0000354797,USA,7373,8.7500
001054,P,01,LU,10429,5118,19811001,19940930,19910630,1991,ASKI,ASK GROUP INC,,12,3,384.4210,6.2990,171.9530,19.2310,90.7990,11.9590,343.9330,0000354797,USA,7373,8.0000
001055,P,01,LU,85041,7357,19841220,19970829,19900630,1990,ASTA,AST RESEARCH INC,,12,3,324.1750,11.1480,193.2860,15.2550,,54.4270,533.8140,0000725182,USA,3571,23.8750
001055,P,01,LU,85041,7357,19841220,19970829,19910630,1991,ASTA,AST RESEARCH INC,,12,3,485.4310,11.2410,282.1620,30.2280,0.0000,94.0830,688.4770,0000725182,USA,3571,20.2500
001056,P,01,LC,62500,336,19770630,20070831,19900630,1990,ARXX,AEROFLEX INC,,12,3,123.6160,4.0090,54.6710,7.8540,12.5020,6.5750,122.5620,0000002601,USA,5063,3.6250
001056,P,01,LC,62500,336,19770630,20070831,19910630,1991,ARXX,AEROFLEX INC,,12,3,82.3550,1.8770,23.7050,8.4720,11.0940,-1.5320,62.7420,0000002601,USA,3490,1.5000
001062,P,01,LU,26649,20015,19650129,E,19901130,1990,ASA,ASA GOLD AND PRECIOUS METALS,,12,3,467.8660,0.0000,465.9900,9.6000,0.0000,20.2040,22.1760,0001230869,BMU,6799,41.5000
001062,P,01,LU,26649,20015,19650129,E,19911130,1991,ASA,ASA GOLD AND PRECIOUS METALS,,12,3,430.6200,0.0000,429.1680,9.6000,0.0000,16.1540,18.3020,0001230869,BMU,6799,50.2500
001065,C,01,LU,71239,5894,19830404,19910719,19901231,1990,7200B,AT&E CORP,,12,3,12.7800,1.6760,-3.6040,11.5510,0.0000,-35.8570,0.4740,0000008076,USA,3663,2.0000
001073,C,01,LU,10496,422,19810309,19960828,19901231,1990,3AWCSA,AW COMPUTER SYSTEMS  -CL A,,12,3,1.4120,0.0670,0.1830,3.5070,0.0000,-0.5800,3.1050,0000319037,USA,7373,0.0940
001073,C,01,LU,10496,422,19810309,19960828,19911231,1991,3AWCSA,AW COMPUTER SYSTEMS  -CL A,,12,3,4.1900,0.2150,2.4380,3.6510,0.0000,2.1370,8.9170,0000319037,USA,7373,4.3750
001075,P,01,LU,27991,21409,19620131,E,19901231,1990,PNW,PINNACLE WEST CAPITAL CORP,,12,3,7010.6450,259.2800,1511.9450,86.8730,,459.3780,1596.6390,0000764622,USA,4911,10.0000
001075,P,01,LU,27991,21409,19620131,E,19911231,1991,PNW,PINNACLE WEST CAPITAL CORP,,12,3,6482.6990,182.6870,1325.4020,87.0100,,-167.2490,1474.5500,0000764622,USA,4911,17.3750
001076,P,01,LC,10517,5674,19821104,19921231,19900331,1989,AAN,AARON'S INC,,12,3,102.0020,47.1830,46.5780,4.5740,,9.2090,143.4660,0000706688,USA,7359,11.7500
001076,P,01,LC,10517,5674,19821104,19921231,19910331,1990,AAN,AARON'S INC,,12,3,100.6980,45.0960,44.0220,4.2270,,7.7260,143.1670,0000706688,USA,7359,9.5000
001078,P,01,LC,20482,20017,19620131,E,19901231,1990,ABT,ABBOTT LABORATORIES,,12,3,5563.1510,641.3910,2833.6170,429.1410,0.0000,1406.0410,6158.6820,0000001800,USA,2834,45.0000
001078,P,01,LC,20482,20017,19620131,E,19911231,1991,ABT,ABBOTT LABORATORIES,,12,3,6255.2660,770.6110,3202.9870,425.2650,0.0000,1557.0300,6876.5880,0000001800,USA,2834,68.8750
001082,P,01,LC,10568,5580,19820629,20110831,19900430,1989,SERV.1,SERVIDYNE INC,,12,3,64.0470,0.3450,18.3040,2.9940,0.0000,3.6120,54.1710,0000001923,USA,1540,4.7500
001082,P,01,LC,10568,5580,19820629,20110831,19910430,1990,SERV.1,SERVIDYNE INC,,12,3,76.6060,10.3200,18.6760,2.9780,0.0000,3.0250,77.0940,0000001923,USA,1540,3.1250
001086,C,01,LU,76876,10835,19910628,19940223,19911231,1991,3AMETE,AMETECH INC,,12,3,15.8410,2.2390,4.5960,13.4970,0.0000,1.0790,17.2120,0000001969,USA,4955,1.2500
001094,P,01,LC,10656,37,19721214,20191002,19900630,1990,ACETQ,ACETO CORP,,12,3,68.2440,1.1710,46.0920,3.9160,0.0000,6.5700,121.5940,0000002034,USA,2800,13.0000
001094,P,01,LC,10656,37,19721214,20191002,19910630,1991,ACETQ,ACETO CORP,,12,3,71.3550,2.0360,46.8320,3.7910,0.0000,6.7790,132.7830,0000002034,USA,2800,12.0000
001095,P,01,LC,10123,9754,19890907,20020614,19901231,1990,AK,ACKERLEY GROUP INC,,12,3,214.3250,19.7620,-69.5850,15.4190,,9.0270,159.0750,0000319120,USA,7310,2.7500
001095,P,01,LC,10123,9754,19890907,20020614,19911231,1991,AK,ACKERLEY GROUP INC,,12,3,186.6940,1.5820,-108.7230,15.4190,,10.1880,159.3550,0000319120,USA,7310,1.7500
001097,P,01,LC,10664,47,19721214,19940930,19901231,1990,ACMTA,ACMAT CORP  -CL A,,12,3,127.9810,5.6160,29.6180,4.4560,,14.5340,39.3320,0000002062,USA,6411,11.8750
001097,P,01,LC,10664,47,19721214,19940930,19911231,1991,ACMTA,ACMAT CORP  -CL A,,12,3,142.5530,0.7540,32.2080,4.3780,,12.1480,35.0180,0000002062,USA,6411,10.3750
001098,C,01,LC,10057,20020,19680101,19960702,19900930,1990,AMT.1,ACME-CLEVELAND CORP,,12,3,129.2600,3.1070,64.0920,6.2910,2.5290,7.8560,199.4930,0000869676,USA,3541,5.5000
001098,C,01,LC,10057,20020,19680101,19960702,19910930,1991,AMT.1,ACME-CLEVELAND CORP,,12,3,123.3270,2.5060,59.7800,6.2910,2.2120,3.4490,183.9400,0000869676,USA,3541,6.2500
001099,P,01,LC,63837,156,19721214,20001130,19900630,1990,ACEE,ACME ELECTRIC CORP,,12,3,60.4200,3.4140,27.8070,4.7000,,7.6820,90.5890,0000002070,USA,3620,8.5000
001099,P,01,LC,63837,156,19721214,20001130,19910630,1991,ACEE,ACME ELECTRIC CORP,,12,3,54.2620,5.1310,19.7740,4.7610,0.0000,-2.3650,79.8870,0000002070,USA,3620,3.7500
001104,P,01,LU,60038,370,19721214,E,19901231,1990,ACU,ACME UNITED CORP,,12,3,37.7530,1.3100,19.8260,3.2730,0.5490,2.4050,44.2240,0000002098,USA,3420,5.2500
001104,P,01,LU,60038,370,19721214,E,19911231,1991,ACU,ACME UNITED CORP,,12,3,41.0660,1.4030,20.6090,3.2730,0.5220,3.2040,47.8360,0000002098,USA,3420,7.2500
001108,C,01,LC,51510,20021,19701111,19961018,19900630,1990,PRHD,PRINCETON HOLDINGS INC,,12,3,81.8320,2.1950,21.3410,5.5300,0.0000,1.1250,130.5840,,USA,5020,3.2500
001108,C,01,LC,51510,20021,19701111,19961018,19910630,1991,PRHD,PRINCETON HOLDINGS INC,,12,3,63.8770,1.0580,23.8080,5.5310,0.0000,5.5460,109.2040,,USA,5020,5.1250
