GVKEY,LIID,datadate,fyear,conm,adrr,fic
001004,01,19900531,1989,AAR CORP,,USA
001004,01,19910531,1990,AAR CORP,,USA
001009,01,19901031,1990,ABS INDUSTRIES INC,,USA
001009,01,19911031,1991,ABS INDUSTRIES INC,,USA
001011,01,19901231,1990,ACS ENTERPRISES INC,,USA
001011,01,19911231,1991,ACS ENTERPRISES INC,,USA
001013,01,19901031,1990,ADC TELECOMMUNICATIONS INC,,USA
001013,01,19911031,1991,ADC TELECOMMUNICATIONS INC,,USA
001017,01,19900228,1989,AEL INDUSTRIES  -CL A,,USA
001017,01,19910228,1990,AEL INDUSTRIES  -CL A,,USA
001021,01,19900630,1990,AFP IMAGING CORP,,USA
001021,01,19910630,1991,AFP IMAGING CORP,,USA
001028,01,19900228,1989,AIM TELEPHONES INC,,USA
001028,01,19910228,1990,AIM TELEPHONES INC,,USA
001034,01,19901231,1990,ALPHARMA INC  -CL A,,USA
001034,01,19911231,1991,ALPHARMA INC  -CL A,,USA
001036,01,19901231,1990,UNITED DOMINION INDUSTRIES,,CAN
001036,01,19911231,1991,UNITED DOMINION INDUSTRIES,,CAN
001038,01,19900331,1989,AMC ENTERTAINMENT INC -OLD,,USA
001038,01,19910331,1990,AMC ENTERTAINMENT INC -OLD,,USA
001043,01,19900731,1990,MULTIGRAPHICS INC,,USA
001043,01,19910731,1991,MULTIGRAPHICS INC,,USA
001045,01,19901231,1990,AMERICAN AIRLINES GROUP INC,,USA
001045,01,19911231,1991,AMERICAN AIRLINES GROUP INC,,USA
001050,01,19900531,1989,CECO ENVIRONMENTAL CORP,,USA
001050,01,19910531,1990,CECO ENVIRONMENTAL CORP,,USA
001054,01,19900630,1990,ASK GROUP INC,,USA
001054,01,19910630,1991,ASK GROUP INC,,USA
001055,01,19900630,1990,AST RESEARCH INC,,USA
001055,01,19910630,1991,AST RESEARCH INC,,USA
001056,01,19900630,1990,AEROFLEX INC,,USA
001056,01,19910630,1991,AEROFLEX INC,,USA
001062,01,19901130,1990,ASA GOLD AND PRECIOUS METALS,,BMU
001062,01,19911130,1991,ASA GOLD AND PRECIOUS METALS,,BMU
001065,01,19901231,1990,AT&E CORP,,USA
001073,01,19901231,1990,AW COMPUTER SYSTEMS  -CL A,,USA
001073,01,19911231,1991,AW COMPUTER SYSTEMS  -CL A,,USA
001075,01,19901231,1990,PINNACLE WEST CAPITAL CORP,,USA
001075,01,19911231,1991,PINNACLE WEST CAPITAL CORP,,USA
001076,01,19900331,1989,AARON'S INC,,USA
001076,01,19910331,1990,AARON'S INC,,USA
001078,01,19901231,1990,ABBOTT LABORATORIES,,USA
001078,01,19911231,1991,ABBOTT LABORATORIES,,USA
001082,01,19900430,1989,SERVIDYNE INC,,USA
001082,01,19910430,1990,SERVIDYNE INC,,USA
001086,01,19911231,1991,AMETECH INC,,USA
001094,01,19900630,1990,ACETO CORP,,USA
001094,01,19910630,1991,ACETO CORP,,USA
001095,01,19901231,1990,ACKERLEY GROUP INC,,USA
001095,01,19911231,1991,ACKERLEY GROUP INC,,USA
001097,01,19901231,1990,ACMAT CORP  -CL A,,USA
001097,01,19911231,1991,ACMAT CORP  -CL A,,USA
001098,01,19900930,1990,ACME-CLEVELAND CORP,,USA
001098,01,19910930,1991,ACME-CLEVELAND CORP,,USA
001099,01,19900630,1990,ACME ELECTRIC CORP,,USA
001099,01,19910630,1991,ACME ELECTRIC CORP,,USA
001104,01,19901231,1990,ACME UNITED CORP,,USA
001104,01,19911231,1991,ACME UNITED CORP,,USA
001108,01,19900630,1990,PRINCETON HOLDINGS INC,,USA
