q_Imp_sw,q_Imp_aw,qAdj_Imp_sw,qAdj_Imp_aw,xv_sw,xv_aw,xvAdj_sw,xvAdj_aw,gvkey,linkprim,liid,linktype,lpermno,lpermco,linkdt,linkenddt,datadate,fyear,tic,conm,adrr,pddur,upd,at,capx,ceq,csho,gdwl,oiadp,sale,cik,fic,sich,prcc_f,datadate_int,dyear,dmonth,dday,saleSUM,iaSUM,nseg,MS,SIC_4dig,SIC_3dig,SIC_2dig,SIC_1dig,gdwl_orig,capx_orig,at_MV,atAdj,atAdj_MV,q_Obs,qAdj_Obs,log_at,log_atAdj,ebit2sale,capx2sale,dyear_fac
1.311996601186968,1.311996601186968,NA,NA,-0.03637167959571926,-0.03637167959571926,NA,NA,1075,P,1,LU,27991,21409,19620131,E,2017-12-31,2017,PNW,PINNACLE WEST CAPITAL CORP,NA,12,3,17019.082,1430.886,5006.69,111.752,0,934.427,3565.296,764622,USA,4911,85.18,20171231,2017,12,31,3565.296,17019.082,1,0,4911,491,49,4,0,1430.886,21531.42736,17019.082,21531.42736,1.2651344743506143,1.2651344743506143,9.742090464127497,9.742090464127497,0.26208959929273756,0.4013372241743743,2017
1.174491740402608,1.174491740402608,NA,NA,0.0583203131287492,0.0583203131287492,NA,NA,1075,P,1,LU,27991,21409,19620131,E,2018-12-31,2018,PNW,PINNACLE WEST CAPITAL CORP,NA,12,3,17664.202,1203.349,5222.915,112.102,0,773.687,3691.247,764622,USA,4911,85.2,20181231,2018,12,31,3691.247,17664.202,1,0,4911,491,49,4,0,1203.349,21992.3774,17664.202,21992.3774,1.245025243710415,1.245025243710415,9.779295384699841,9.779295384699841,0.2096004412600945,0.32600067131785004,2018
NA,NA,NA,NA,NA,NA,NA,NA,1104,P,1,LU,60038,370,19721214,E,2017-12-31,2017,ACU,ACME UNITED CORP,NA,12,3,114.73,7.146,49.938,3.374,4.696,7.796,130.55,2098,USA,3420,23.4,20171231,2017,12,31,130.55,114.73,1,0,3420,342,34,3,4.696,7.146,143.74360000000001,110.034,139.0476,1.2528859060402686,1.2636784993729209,4.7425815418110515,4.700789408942753,0.0597165836844121,0.054737648410570654,2017
NA,NA,NA,NA,NA,NA,NA,NA,1104,P,1,LU,60038,370,19721214,E,2018-12-31,2018,ACU,ACME UNITED CORP,NA,12,3,109.477,2.851,52.332,3.351,4.696,7.456,137.321,2098,USA,3420,14.25,20181231,2018,12,31,137.321,109.477,1,0,3420,342,34,3,4.696,2.851,104.89675,104.781,100.20075,0.9581624450797884,0.9562873994331033,4.695714481531775,4.651872457740602,0.05429613824542496,0.02076157324808296,2018
3.1157045220585045,3.1157045220585045,3.360079129574679,3.360079129574679,0.6173753119939352,0.6173753119939352,0.582491298043614,0.582491298043614,1234,P,1,LU,11587,392,19721214,E,2017-12-31,2017,ATRI,ATRION CORP,NA,12,3,203.78,9.677,184.388,1.836,9.73,41.274,146.595,701288,USA,3841,630.6,20171231,2017,12,31,146.595,203.78,1,0,3841,384,38,3,9.73,9.677,1177.1736,194.05,1167.4436,5.776688585729709,6.01619994846689,5.317040980546139,5.268115857814915,0.28155121252430165,0.0660118012210512,2017
3.368566538783857,3.368566538783857,3.705094627495537,3.705094627495537,0.581856373647127,0.581856373647127,0.5226217750780557,0.5226217750780557,1234,P,1,LU,11587,392,19721214,E,2018-12-31,2018,ATRI,ATRION CORP,NA,12,3,231.216,17.507,210.767,1.853,9.73,41.707,152.448,701288,USA,3841,741.08,20181231,2018,12,31,152.448,231.216,1,0,3841,384,38,3,9.73,17.507,1393.6702400000001,221.48600000000002,1383.9402400000001,6.027568334371324,6.2484321356654595,5.443352338555974,5.400359382070037,0.2735818115029387,0.11483915827036105,2018
NA,NA,NA,NA,NA,NA,NA,NA,1254,P,1,LU,11691,157,19721214,E,2017-12-31,2017,MATX,MATSON INC,NA,12,3,2247.5,307,678.2,42.5,323.7,121.2,2046.9,3453,USA,4400,29.84,20171231,2017,12,31,2046.9,2247.5,2,1,4400,440,44,4,323.7,307,2837.5,1923.8,2513.8,1.2625139043381535,1.3066846865578543,7.717573766345775,7.562057675718515,0.059211490546680345,0.14998290097220185,2017
NA,NA,NA,NA,NA,NA,NA,NA,1254,P,1,LU,11691,157,19721214,E,2018-12-31,2018,MATX,MATSON INC,NA,12,3,2430.4,401.2,755.3,42.7,327.8,127,2222.8,3453,USA,4400,32.02,20181231,2018,12,31,2222.8,2430.4,2,1,4400,440,44,4,327.8,401.2,3042.3540000000003,2102.6,2714.554,1.251791474654378,1.2910463235993532,7.795811131841509,7.6509299531417305,0.057135144862335785,0.18049307180133164,2018
2.3889396665792444,2.3889396665792444,2.6494141590827818,2.6494141590827818,0.5619766646422149,0.5619766646422149,0.6258325902263256,0.6258325902263256,1327,P,1,LU,45911,20058,19680313,E,2017-09-30,2017,SWKS,SKYWORKS SOLUTIONS INC,NA,12,3,4573.6,303.3,4065.7,183.1,883,1257.7,3651.4,4127,USA,3674,101.9,20170930,2017,9,30,3651.4,4573.6,1,0,3674,367,36,3,883,303.3,19165.79,3690.6000000000004,18282.79,4.190526062620255,4.953880127892483,8.428055919949761,8.213544325442378,0.34444322725529936,0.08306403023497837,2017
2.1041871084299846,2.1041871084299846,2.441478885688422,2.441478885688422,0.5042498410443886,0.5042498410443886,0.5651111290810197,0.5651111290810197,1327,P,1,LU,45911,20058,19680313,E,2018-09-30,2018,SWKS,SKYWORKS SOLUTIONS INC,NA,12,3,4828.9,422.3,4097,177.4,1189.8,1321,3868,4127,USA,3674,90.71,20180930,2018,9,30,3868,4828.9,1,0,3674,367,36,3,1189.8,422.3,16823.854,3639.0999999999995,15634.054,3.483993041893599,4.296132010661977,8.482373977437959,8.199491677311533,0.34152016546018615,0.10917786970010342,2018
